Date,ProductID,ProductName,UnitsSold,UnitPrice,TotalRevenue
2025-06-01,P001,Wireless Mouse,15,499,7485
2025-06-01,P002,USB Keyboard,10,699,6990
2025-06-02,P003,Laptop Stand,8,1299,10392
2025-06-02,P004,HDMI Cable,20,299,5980
2025-06-03,P001,Wireless Mouse,12,499,5988
2025-06-03,P005,External HDD,6,3999,23994
2025-06-04,P006,Webcam,9,1599,14391
2025-06-04,P002,USB Keyboard,11,699,7689
2025-06-05,P007,Smartphone Holder,13,799,10387
2025-06-06,P003,Laptop Stand,10,1299,12990
2025-06-06,P004,HDMI Cable,18,299,5382
2025-06-07,P001,Wireless Mouse,14,499,6986
2025-06-07,P006,Webcam,7,1599,11193
2025-06-08,P008,Bluetooth Speaker,9,2199,19791
2025-06-09,P005,External HDD,5,3999,19995
2025-06-10,P009,Portable Charger,16,1499,23984
2025-06-11,P010,Smartwatch,3,6999,20997
2025-06-12,P002,USB Keyboard,12,699,8388
2025-06-13,P004,HDMI Cable,25,299,7475
2025-06-14,P007,Smartphone Holder,10,799,7990
2025-06-15,P001,Wireless Mouse,17,499,8483
2025-06-16,P006,Webcam,8,1599,12792
2025-06-17,P008,Bluetooth Speaker,6,2199,13194
2025-06-18,P005,External HDD,4,3999,15996
2025-06-19,P009,Portable Charger,14,1499,20986
2025-06-20,P003,Laptop Stand,9,1299,11691
2025-06-21,P002,USB Keyboard,13,699,9087
2025-06-22,P004,HDMI Cable,21,299,6279
2025-06-23,P010,Smartwatch,2,6999,13998
2025-06-24,P001,Wireless Mouse,11,499,5489
2025-06-25,P008,Bluetooth Speaker,7,2199,15393
2025-06-26,P007,Smartphone Holder,12,799,9588
2025-06-27,P006,Webcam,6,1599,9594
2025-06-28,P005,External HDD,5,3999,19995
2025-06-29,P009,Portable Charger,10,1499,14990
2025-06-30,P010,Smartwatch,4,6999,27996
